workerid,assignmentid,Answer.listNumber,Answer.age,Answer.language,Answer.americanenglish,Answer.comments,variable,value,Trial,List,Index,Construction,Context,Question,Response,Adj,Tense
92,3YGXWBAF71MN8CMGHUPYW9KC5BR4CP,8,53,"""English""","""Yes""","""""",Trial1,8 126 wasn't_lucky_to Zidan_was_once_again_the_goalscorer_for_Mainz_as_he_scored_their_only_goal_in_the_81st_minute._The_Egyptian_also_had_two_chances_in_the_first_half_but_wasn't_lucky_to_score. Is_Jason_certain_that_the_Egyptian_scored? 7 lucky Past,1,8,126,wasn't_lucky_to,Zidan_was_once_again_the_goalscorer_for_Mainz_as_he_scored_their_only_goal_in_the_81st_minute._The_Egyptian_also_had_two_chances_in_the_first_half_but_wasn't_lucky_to_score.,Is_Jason_certain_that_the_Egyptian_scored?,7,lucky,Past
222,3TUI152ZZCSAAEZGZU7RIG2QX6IQ13,1,39,"""english""","""Yes""","""""",Trial1,1 57 are_not_foolish_to Oh__we_would_rejoice._We_ache_to_see_our_brothers_and_sisters_relieved_of_this_stress._We_ache_to_rejoice_with_them_and_lift_our_voices_that_we_are_not_foolish_to_trust_in_this_God. Is_Jason_certain_that_he_trusts_in_this_God? 7 foolish Pres,1,1,57,are_not_foolish_to,Oh__we_would_rejoice._We_ache_to_see_our_brothers_and_sisters_relieved_of_this_stress._We_ache_to_rejoice_with_them_and_lift_our_voices_that_we_are_not_foolish_to_trust_in_this_God.,Is_Jason_certain_that_he_trusts_in_this_God?,7,foolish,Pres
6,3PMBY0YE288O5ISSYPLPDHVSR35C9T,3,32,"""english""","""Yes""","""""",Trial1,3 72 was_not_fortunate_to It_wasn't_always_safe__especially_when_the_water_level_in_the_river_rose_and_raged__but_Paul_and_Thomas_were_determined_to_get_an_education._When_tuition_fees_at_their_school_increased__Thomas_had_to_drop_out_and_Paul_had_to_transfer_to_a_different_school_to_finish_third_grade._'I_was_very_sad_and_my_heart_was_very_heavy_'_Thomas's_father_said._'We_are_poor_from_our_forefathers'_time._I__too__was_not_fortunate_to_go_to_school.' Is_Jason_certain_that_Thomas'_father_went_to_school? 1 fortunate Past,1,3,72,was_not_fortunate_to,It_wasn't_always_safe__especially_when_the_water_level_in_the_river_rose_and_raged__but_Paul_and_Thomas_were_determined_to_get_an_education._When_tuition_fees_at_their_school_increased__Thomas_had_to_drop_out_and_Paul_had_to_transfer_to_a_different_school_to_finish_third_grade._'I_was_very_sad_and_my_heart_was_very_heavy_'_Thomas's_father_said._'We_are_poor_from_our_forefathers'_time._I__too__was_not_fortunate_to_go_to_school.',Is_Jason_certain_that_Thomas'_father_went_to_school?,1,fortunate,Past
66,3RSDURM96BRI3HKE2SJ02MOMLO3EYD,3,28,"""English""","""Yes""","""""",Trial1,3 135 are_not_lucky_to I_am_so_sorry_that_you_are_not_lucky_to_have_the_team_that_I_do. Is_Jason_certain_that_the_reader_has_the_team_that_he_does? 7 lucky Pres,1,3,135,are_not_lucky_to,I_am_so_sorry_that_you_are_not_lucky_to_have_the_team_that_I_do.,Is_Jason_certain_that_the_reader_has_the_team_that_he_does?,7,lucky,Pres
20,36NEMU28XGICQ0HR4PPVUX8FJITWMK,5,25,"""English""","""Yes""","""""",Trial1,5 65 was_not_fortunate_to Well__I_was_not_fortunate_to_start_at_that_tender_age_but_nevertheless__I_started_in_Barbados_at_the_age_of_20. Is_Jason_certain_that_he_started_at_that_tender_age? 7 fortunate Past,1,5,65,was_not_fortunate_to,Well__I_was_not_fortunate_to_start_at_that_tender_age_but_nevertheless__I_started_in_Barbados_at_the_age_of_20.,Is_Jason_certain_that_he_started_at_that_tender_age?,7,fortunate,Past
252,3ZAZR5XV02N3B9A52NFOQ5XL66TZCV,1,25,"""english""","""Yes""","""""",Trial1,1 53 is_n't_foolish_to Everything_about_the_AlphaSmart_line__combined_with_core_functions_of_the_Palm_like_the_PIM_apps_and_eBooks__makes_the_Dana_ideal_for_school_markets._I_predict__that_with_the_right_marketing_campaign_and_good_software_support_from_the_educational_community__that_the_Dana_will_become_one_the_most_successful_Palm_OS_devices_ever_produced._[...]_I_guess_my_school_is_from_a_rich_suburban_area_because_I_am_sure_my_school_will_buy_these._However_my_school_isn't_foolish_to_waste_it's_money_on_laptops. Is_Jason_certain_that_his_school_wasted_or_will_waste_its_money_on_laptops? 1 foolish Pres,1,1,53,is_n't_foolish_to,Everything_about_the_AlphaSmart_line__combined_with_core_functions_of_the_Palm_like_the_PIM_apps_and_eBooks__makes_the_Dana_ideal_for_school_markets._I_predict__that_with_the_right_marketing_campaign_and_good_software_support_from_the_educational_community__that_the_Dana_will_become_one_the_most_successful_Palm_OS_devices_ever_produced._[...]_I_guess_my_school_is_from_a_rich_suburban_area_because_I_am_sure_my_school_will_buy_these._However_my_school_isn't_foolish_to_waste_it's_money_on_laptops.,Is_Jason_certain_that_his_school_wasted_or_will_waste_its_money_on_laptops?,1,foolish,Pres
130,36TFCYNS45F5NML6NX544BEQBY1HXQ,8,37,"""english""","""Yes""","""""",Trial1,8 69 was_not_fortunate_to Four_months_after_her_last_Prolotherapy_treatment__Tessie_is_still_doing_great._But_what_would_have_happened_if_she_was_not_fortunate_to_be_married_to_Joe? Is_Jason_certain_that_Tessie_is_married_to_Joe? 7 fortunate Past,1,8,69,was_not_fortunate_to,Four_months_after_her_last_Prolotherapy_treatment__Tessie_is_still_doing_great._But_what_would_have_happened_if_she_was_not_fortunate_to_be_married_to_Joe?,Is_Jason_certain_that_Tessie_is_married_to_Joe?,7,fortunate,Past
46,3LRLIPTPEREKTZELI8GNXVJK2UWKAT,5,24,"""english""","""Yes""","""""",Trial1,5 47 are_not_wise_to The_flight_attendants_are_not_wise_to_invoke_the_specter_of_a_strike. Is_Jason_certain_that_the_flight_attendants_invoked_or_will_invoke_the_specter_of_a_strike? 5 wise Pres,1,5,47,are_not_wise_to,The_flight_attendants_are_not_wise_to_invoke_the_specter_of_a_strike.,Is_Jason_certain_that_the_flight_attendants_invoked_or_will_invoke_the_specter_of_a_strike?,5,wise,Pres
89,3C5W7UE9CGVRF0MHEULHWGMMSK0MX4,6,33,"""english""","""Yes""","""""",Trial1,6 19 am_not_stupid_to A_special_thak_you_to_everyone_for_warning_me_of_the_problems_vw_has._We_were_considering_one__but_I_would_never_considerate_it_now._WE_are_Not_stupid_to_fall_for_their_vehicles_and_their_problems._However_we_are_still_looking_for_a_small_car._Again_both_of_us_just_say_thanks_for_the_warnings!!!!!! Is_Jason_certain_that_he_fell_or_will_fall_for_vw's_vehicle_and_their_problems? 2 stupid Pres,1,6,19,am_not_stupid_to,A_special_thak_you_to_everyone_for_warning_me_of_the_problems_vw_has._We_were_considering_one__but_I_would_never_considerate_it_now._WE_are_Not_stupid_to_fall_for_their_vehicles_and_their_problems._However_we_are_still_looking_for_a_small_car._Again_both_of_us_just_say_thanks_for_the_warnings!!!!!!,Is_Jason_certain_that_he_fell_or_will_fall_for_vw's_vehicle_and_their_problems?,2,stupid,Pres
78,35GMH2SV3FM693GCW5A20VQK7E4EO2,4,31,"""english""","""Yes""","""""",Trial1,4 71 was_not_fortunate_to That_way__all_I_have_to_do_is_name_tags_and_things_that_require_their_names._Also__familiarize_yourself_with_the_curriculum._I_was_not_fortunate_to_get_this_chance._ Is_Jason_certain_that_he_had_the_chance_to_familiarize_himself_with_the_curriculum?_ 4 fortunate Past,1,4,71,was_not_fortunate_to,That_way__all_I_have_to_do_is_name_tags_and_things_that_require_their_names._Also__familiarize_yourself_with_the_curriculum._I_was_not_fortunate_to_get_this_chance._,Is_Jason_certain_that_he_had_the_chance_to_familiarize_himself_with_the_curriculum?_,4,fortunate,Past
140,37ZHEEHM6XRWEZ8GQZC46I0SQ0473E,1,24,"""English""","""Yes""","""""",Trial1,1 145 are_not_lucky_to Alice:_Good_day._My_husband_and_i_were_married_for_four_years_now_but_before_that_he_already_has_a_child_with_his_ex_gf._We_are_not_lucky_to_have_a_child_of_our_own. Is_Alice_certain_that_she_has_a_child_with_her_husband? 1 lucky Pres,1,1,145,are_not_lucky_to,Alice:_Good_day._My_husband_and_i_were_married_for_four_years_now_but_before_that_he_already_has_a_child_with_his_ex_gf._We_are_not_lucky_to_have_a_child_of_our_own.,Is_Alice_certain_that_she_has_a_child_with_her_husband?,1,lucky,Pres
69,3D4CH1LGEBY1MU8X0BH838G7PVX9G0,5,41,"""English""","""Yes""","""""",Trial1,5 151 am_not_mean_to I_am_not_mean_to_disparage_this_bag_by_calling_it_a_joke_bag__http://www.ufashiononline.com__because_this_bag_is_actually_a_joke_bag Is_Jason_certain_that_he_disparaged_or_will_disparage_the_bag? 6 mean Pres,1,5,151,am_not_mean_to,I_am_not_mean_to_disparage_this_bag_by_calling_it_a_joke_bag__http://www.ufashiononline.com__because_this_bag_is_actually_a_joke_bag,Is_Jason_certain_that_he_disparaged_or_will_disparage_the_bag?,6,mean,Pres
85,3TS1AR6UQRJRUBO9AUD67RPPTQ9F7V,3,35,"""English""","""Yes""","""Thanks!""",Trial1,3 1 is_not_stupid_to I_think_it_makes_it_better_to_have_a_whole_new_monster_and_if_it_was_a_sequel__then_Paramount_would_have_invested_more_money._Moreover__we_know_JJ__he_is_not_stupid_to_just_'copy_and_paste'_a_monster. Is_Jason_certain_that_JJ_'copied_and_pasted'_or_will_'copy_and_paste'_a_monster? 7 stupid Pres,1,3,1,is_not_stupid_to,I_think_it_makes_it_better_to_have_a_whole_new_monster_and_if_it_was_a_sequel__then_Paramount_would_have_invested_more_money._Moreover__we_know_JJ__he_is_not_stupid_to_just_'copy_and_paste'_a_monster.,Is_Jason_certain_that_JJ_'copied_and_pasted'_or_will_'copy_and_paste'_a_monster?,7,stupid,Pres
106,3PB5A5BD0WBX8BK4LEJOPCP1U597GM,4,26,"""English""","""Yes""","""None%2C+thanks!""",Trial1,4 76 was_not_fortunate_to I_want_to_say_thank_you_for_bringing_Irish_music_into_our_home._I_was_not_fortunate_to_grow_up_with_this_gift. Is_Jason_certain_that_he_grew_up_with_the_gift_of_Irish_music? 1 fortunate Past,1,4,76,was_not_fortunate_to,I_want_to_say_thank_you_for_bringing_Irish_music_into_our_home._I_was_not_fortunate_to_grow_up_with_this_gift.,Is_Jason_certain_that_he_grew_up_with_the_gift_of_Irish_music?,1,fortunate,Past
84,3IXQG4FA2U35VD0MKPPU2XPA9I59BJ,3,53,"""English""","""Yes""","""Thank+you!""",Trial1,3 1 is_not_stupid_to I_think_it_makes_it_better_to_have_a_whole_new_monster_and_if_it_was_a_sequel__then_Paramount_would_have_invested_more_money._Moreover__we_know_JJ__he_is_not_stupid_to_just_'copy_and_paste'_a_monster. Is_Jason_certain_that_JJ_'copied_and_pasted'_or_will_'copy_and_paste'_a_monster? 1 stupid Pres,1,3,1,is_not_stupid_to,I_think_it_makes_it_better_to_have_a_whole_new_monster_and_if_it_was_a_sequel__then_Paramount_would_have_invested_more_money._Moreover__we_know_JJ__he_is_not_stupid_to_just_'copy_and_paste'_a_monster.,Is_Jason_certain_that_JJ_'copied_and_pasted'_or_will_'copy_and_paste'_a_monster?,1,stupid,Pres
23,3R9WASFE20LAELUFTP5PYBIO3JLZF6,7,36,"""english""","""Yes""","""enjoyed""",Trial1,7 29 is_n't_smart_to We_can_always_make_use_of_practical__work_a_day_metals_like_iron_and_nickel__but_precious_metals_like_gold_and_platinum_are_valuable_mostly_because_they're_rare._'From_a_simple_business_perspective_this_may_not_work_'_says_Hertzfeld._'Have_they_analyzed_what_they_would_do_to_market_prices_if_they_brought_back_an_asteroid_full_of_platinum?'_None_of_these_problems_mean_that_mining_asteroids_isn't_ultimately_a_good_idea._And_none_of_them_mean_that_a_group_like_Planetary_Resources_isn't_smart_to_get_the_thinking_and_the_industry_moving_in_the_right_direction. Is_Jason_certain_that_Planetary_Resources_got_or_will_get_the_thinking_and_the_industry_moving_in_the_right_direction? 3 smart Pres,1,7,29,is_n't_smart_to,We_can_always_make_use_of_practical__work_a_day_metals_like_iron_and_nickel__but_precious_metals_like_gold_and_platinum_are_valuable_mostly_because_they're_rare._'From_a_simple_business_perspective_this_may_not_work_'_says_Hertzfeld._'Have_they_analyzed_what_they_would_do_to_market_prices_if_they_brought_back_an_asteroid_full_of_platinum?'_None_of_these_problems_mean_that_mining_asteroids_isn't_ultimately_a_good_idea._And_none_of_them_mean_that_a_group_like_Planetary_Resources_isn't_smart_to_get_the_thinking_and_the_industry_moving_in_the_right_direction.,Is_Jason_certain_that_Planetary_Resources_got_or_will_get_the_thinking_and_the_industry_moving_in_the_right_direction?,3,smart,Pres
165,3WR9XG3T64GHWVRKQDHNGNSY40074Z,6,37,"""English""","""Yes""","""""",Trial1,6 54 was_not_foolish_to Out_east_in_St._Bernard_Parish__Chad_Blanchard_is_hoping_he_was_not_foolish_to_spend_his_savings_on_reopening_Charlie's_restaurant__leaving_himself_with_just_15_dollar_bills_in_his_back_pocket. Is_Jason_certain_that_Chad_Blanchard_spent_his_savings_on_reopening_Charlie's_restaurant? 7 foolish Past,1,6,54,was_not_foolish_to,Out_east_in_St._Bernard_Parish__Chad_Blanchard_is_hoping_he_was_not_foolish_to_spend_his_savings_on_reopening_Charlie's_restaurant__leaving_himself_with_just_15_dollar_bills_in_his_back_pocket.,Is_Jason_certain_that_Chad_Blanchard_spent_his_savings_on_reopening_Charlie's_restaurant?,7,foolish,Past
9,3N4BPTXIO9X488SJODXEXWVE9XNUKE,8,27,"""English""","""Yes""","""""",Trial1,8 126 wasn't_lucky_to Zidan_was_once_again_the_goalscorer_for_Mainz_as_he_scored_their_only_goal_in_the_81st_minute._The_Egyptian_also_had_two_chances_in_the_first_half_but_wasn't_lucky_to_score. Is_Jason_certain_that_the_Egyptian_scored? 6 lucky Past,1,8,126,wasn't_lucky_to,Zidan_was_once_again_the_goalscorer_for_Mainz_as_he_scored_their_only_goal_in_the_81st_minute._The_Egyptian_also_had_two_chances_in_the_first_half_but_wasn't_lucky_to_score.,Is_Jason_certain_that_the_Egyptian_scored?,6,lucky,Past
162,3HVVDCPGTFXKS02BSN8V18ONOYPTYH,3,27,"""english""","""Yes""","""""",Trial1,3 1 is_not_stupid_to I_think_it_makes_it_better_to_have_a_whole_new_monster_and_if_it_was_a_sequel__then_Paramount_would_have_invested_more_money._Moreover__we_know_JJ__he_is_not_stupid_to_just_'copy_and_paste'_a_monster. Is_Jason_certain_that_JJ_'copied_and_pasted'_or_will_'copy_and_paste'_a_monster? 3 stupid Pres,1,3,1,is_not_stupid_to,I_think_it_makes_it_better_to_have_a_whole_new_monster_and_if_it_was_a_sequel__then_Paramount_would_have_invested_more_money._Moreover__we_know_JJ__he_is_not_stupid_to_just_'copy_and_paste'_a_monster.,Is_Jason_certain_that_JJ_'copied_and_pasted'_or_will_'copy_and_paste'_a_monster?,3,stupid,Pres
34,33PPUNGG39A7HBZOKK5JF0W767WZR1,4,47,"""English""","""Yes""","""""",Trial1,4 122 was_not_lucky_to I_had_the_pleasure_to_know_you_and_your_son_Travis__but_I_was_not_lucky_to_meet_you__Thomas. Is_Jason_certain_that_he_met_Thomas? 1 lucky Past,1,4,122,was_not_lucky_to,I_had_the_pleasure_to_know_you_and_your_son_Travis__but_I_was_not_lucky_to_meet_you__Thomas.,Is_Jason_certain_that_he_met_Thomas?,1,lucky,Past
190,3OS4RQUCRAKEWNRZNBPMCTBLCG0FBH,4,32,"""English""","""Yes""","""I'm+sure+that+it+was+intentional%2C+but+these+questions+were+worded+to+be+very+confusing!""",Trial1,4 122 was_not_lucky_to I_had_the_pleasure_to_know_you_and_your_son_Travis__but_I_was_not_lucky_to_meet_you__Thomas. Is_Jason_certain_that_he_met_Thomas? 1 lucky Past,1,4,122,was_not_lucky_to,I_had_the_pleasure_to_know_you_and_your_son_Travis__but_I_was_not_lucky_to_meet_you__Thomas.,Is_Jason_certain_that_he_met_Thomas?,1,lucky,Past
19,31T4R4OBOTLKRZ4ZJSN5ZL4MWDH7CC,7,26,"""English""","""Yes""","""""",Trial1,7 32 was_not_smart_to I_think_Mark_Cuban_was_not_smart_to_let_a_successful_coach_go_in_Avery_Johnson. Is_Jason_certain_that_Mark_Cuban_let_Avery_Johnson_go? 6 smart Past,1,7,32,was_not_smart_to,I_think_Mark_Cuban_was_not_smart_to_let_a_successful_coach_go_in_Avery_Johnson.,Is_Jason_certain_that_Mark_Cuban_let_Avery_Johnson_go?,6,smart,Past
152,3U8YCDAGXQLA3PEY3B3R4BJGSECQ00,2,22,"""english""","""Yes""","""""",Trial1,2 16 am_not_stupid_to Stop_confirming_what_Jack_Chick_has_said!_If_you_don't_need_to_ask_questions_when_Islamists_say_that_all_others_must_die__we_are_not_stupid_to_think_that_you_need_to_ask_questions_when_Jack_Chick_is_right_and_tells_us_that_you_guys_have_not_changed_for_centuries. Is_Jason_certain_that_he_thinks_that_the_reader_needs_to_ask_questions_when_Jack_Chick_is_right? 5 stupid Pres,1,2,16,am_not_stupid_to,Stop_confirming_what_Jack_Chick_has_said!_If_you_don't_need_to_ask_questions_when_Islamists_say_that_all_others_must_die__we_are_not_stupid_to_think_that_you_need_to_ask_questions_when_Jack_Chick_is_right_and_tells_us_that_you_guys_have_not_changed_for_centuries.,Is_Jason_certain_that_he_thinks_that_the_reader_needs_to_ask_questions_when_Jack_Chick_is_right?,5,stupid,Pres
184,3DZQRBDBSMKIXXS8E2AF19WODEGS3L,4,33,"""English""","""Yes""","""""",Trial1,4 88 are_not_fortunate_to Their_younger_son_is_a_track_star__setting_several_state_records_in_the_200_m_and_400_m_sprints._They_routinely_visit_their_relatives__John_and_Mary__who_are_not_fortunate_to_enjoy_the_finer_things_in_life. Is_Jason_certain_that_John_and_Mary_enjoy_the_finer_things_in_life? 1 fortunate Pres,1,4,88,are_not_fortunate_to,Their_younger_son_is_a_track_star__setting_several_state_records_in_the_200_m_and_400_m_sprints._They_routinely_visit_their_relatives__John_and_Mary__who_are_not_fortunate_to_enjoy_the_finer_things_in_life.,Is_Jason_certain_that_John_and_Mary_enjoy_the_finer_things_in_life?,1,fortunate,Pres
