workerid,assignmentid,Answer.listNumber,Answer.age,Answer.language,Answer.americanenglish,variable,value,Trial,List,ID,Condition,Context,Target,Response,Adj,Contradict,VPinf,Enough,AdjPure
92,3TE3O857309PNX8CXVH2V8KHS912R3,8,44,"English","Yes",Trial1,filler filler4 filler Keith_was_hiking_up_a_steep_mountain. He_was_ecstatic_to_have_made_it_to_the_top. 1 ecstatic He_didn't_make_it_to_the_top. to_have_made_it_to_the_top na,1,filler,filler4,filler,Keith_was_hiking_up_a_steep_mountain.,He_was_ecstatic_to_have_made_it_to_the_top.,1,ecstatic,He_didn't_make_it_to_the_top.,to_have_made_it_to_the_top,na,ecstatic
85,3WSELTNVR33R8FG8EZFC154XSIQATV,2,32,"English","Yes",Trial1,filler filler5 filler Claire_fell_down_the_stairs. She_was_glad_to_not_be_hurt. 1 glad She_broke_a_leg_and_some_ribs. to_not_be_hurt na,1,filler,filler5,filler,Claire_fell_down_the_stairs.,She_was_glad_to_not_be_hurt.,1,glad,She_broke_a_leg_and_some_ribs.,to_not_be_hurt,na,glad
98,3HHRAGRYX86XQ41VQCFDB0NQNSRO98,10,32,"English","Yes",Trial1,filler filler1 filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forgot He_called_his_dentist. to_call_his_dentist na,1,filler,filler1,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forgot,He_called_his_dentist.,to_call_his_dentist,na,forgot
42,34S9DKFK73QU9K9RX97GVSGC6R7YNS,0,28,"English","Yes",Trial1,filler filler7 filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 2 sad She_shared_an_apartment_with_some_friends. to_live_alone na,1,filler,filler7,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,2,sad,She_shared_an_apartment_with_some_friends.,to_live_alone,na,sad
11,3SKEMFQBZ36EM8X6NSH64NB6JHZ8KJ,1,24,"English","Yes",Trial1,2 35-wise-CnC-noE CnC Paul_was_staying_in_a_bad_part_of_town. He_stayed_at_home_at_night. 4 wise He_went_out_alone_in_the_dark. to_stay_at_home_at_night noE,1,2,35-wise-CnC-noE,CnC,Paul_was_staying_in_a_bad_part_of_town.,He_stayed_at_home_at_night.,4,wise,He_went_out_alone_in_the_dark.,to_stay_at_home_at_night,noE,wise
59,336YQZE83VFQPEE7A6NJ7GTJ6WT5MJ,5,27,"English","Yes",Trial1,6 43-polite-CxC-noE CxC Chad's_friend_wanted_to_change_her_clothing. He_closed_his_eyes. 6 polite He_watched_her_change. to_close_his_eyes noE,1,6,43-polite-CxC-noE,CxC,Chad's_friend_wanted_to_change_her_clothing.,He_closed_his_eyes.,6,polite,He_watched_her_change.,to_close_his_eyes,noE,polite
2,3MB8LZR5BFU91FHPHHQA9SXC3HYLKI,4,21,"Spanish+and+English","Yes",Trial1,filler filler7 filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 1 sad She_shared_an_apartment_with_some_friends. to_live_alone na,1,filler,filler7,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,1,sad,She_shared_an_apartment_with_some_friends.,to_live_alone,na,sad
111,3XC1O3LBOSN84Y7CBQ42AJK8MUPTLW,10,31,"English","Yes",Trial1,11 50-rude-CxC-noE CxC Ann_got_reprimanded_by_her_boss. She_ignored_him. 1 rude She_apologized_for_her_mistake. to_ignore_him noE,1,11,50-rude-CxC-noE,CxC,Ann_got_reprimanded_by_her_boss.,She_ignored_him.,1,rude,She_apologized_for_her_mistake.,to_ignore_him,noE,rude
10,320DUZ38G7NY43X6O5TIVLSRSBCGJ8,4,29,"English","Yes",Trial1,filler filler1 filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forgot He_called_his_dentist. to_call_his_dentist na,1,filler,filler1,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forgot,He_called_his_dentist.,to_call_his_dentist,na,forgot
71,3BWI6RSP7GA70U0DH1EXSS26O0XE7I,10,28,"English","Yes",Trial1,filler filler2 filler Ross_was_doing_his_laundry. He_didn't_manage_to_find_coins_anywhere. 1 manage He_found_coins_in_his_pocket. to_find_coins_anywhere na,1,filler,filler2,filler,Ross_was_doing_his_laundry.,He_didn't_manage_to_find_coins_anywhere.,1,manage,He_found_coins_in_his_pocket.,to_find_coins_anywhere,na,manage
119,32Q90QCQ1SMVV97X0V36WX7SUKYEKP,1,29,"english","Yes",Trial1,2 15-fortunate-CxC-E CxC Sue_spontaneously_went_to_the_beach. She_was_wearing_flip-flops. 3 fortunate_enough She_was_wearing_high_heels. to_be_wearing_flip-flops E,1,2,15-fortunate-CxC-E,CxC,Sue_spontaneously_went_to_the_beach.,She_was_wearing_flip-flops.,3,fortunate_enough,She_was_wearing_high_heels.,to_be_wearing_flip-flops,E,fortunate
104,3D4CH1LGEAU9YRKX2T256REOW619G7,6,24,"english","Yes",Trial1,7 43-polite-CnC-noE CnC Chad_was_visiting_his_grandmother. He_brought_a_gift. 5 polite He_came_empty-handed. to_bring_a_gift noE,1,7,43-polite-CnC-noE,CnC,Chad_was_visiting_his_grandmother.,He_brought_a_gift.,5,polite,He_came_empty-handed.,to_bring_a_gift,noE,polite
87,3JJVG1YBEBYU6NAAJHXAT0IPUXPB50,6,25,"English","Yes",Trial1,7 59-mean-CnC-noE CnC Jack_bumped_his_shopping_cart_into_a_woman. He_laughed_when_she_cried. 1 mean He_felt_bad_and_apologized. to_laugh_when_she_cried noE,1,7,59-mean-CnC-noE,CnC,Jack_bumped_his_shopping_cart_into_a_woman.,He_laughed_when_she_cried.,1,mean,He_felt_bad_and_apologized.,to_laugh_when_she_cried,noE,mean
35,39GAF6DQWR1ARJ7XNBMYRMZFL911VF,1,23,"English","Yes",Trial1,filler filler7 filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 2 sad She_shared_an_apartment_with_some_friends. to_live_alone na,1,filler,filler7,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,2,sad,She_shared_an_apartment_with_some_friends.,to_live_alone,na,sad
13,3KOPY89HM83XARLITQMYCR3IO683JO,1,30,"english","Yes",Trial1,filler filler3 filler Charles_was_on_a_date_with_Susanne. He_was_happy_to_be_having_a_great_time. 1 happy He_was_having_a_bad_time. to_be_having_a_great_time na,1,filler,filler3,filler,Charles_was_on_a_date_with_Susanne.,He_was_happy_to_be_having_a_great_time.,1,happy,He_was_having_a_bad_time.,to_be_having_a_great_time,na,happy
93,38BQUHLA9W1CXOKPFLJIGMTANRYOM7,8,38,"english","Yes",Trial1,9 31-wise-CxC-E CxC Paul_bought_an_expensive_TV. He_asked_about_the_return_policy. 3 wise_enough He_didn't_ask_the_sales_person_any_questions. to_ask_about_the_return_policy E,1,9,31-wise-CxC-E,CxC,Paul_bought_an_expensive_TV.,He_asked_about_the_return_policy.,3,wise_enough,He_didn't_ask_the_sales_person_any_questions.,to_ask_about_the_return_policy,E,wise
73,3ND9UOO81K30WFB66V9DX3R7QO7WLP,11,43,"Korean%2C+English","Yes",Trial1,12 45-polite-CxC-E CxC Chad_watched_a_street_comedian. He_laughed. 5 polite_enough He_frowned_because_he_didn't_like_the_act. to_laugh E,1,12,45-polite-CxC-E,CxC,Chad_watched_a_street_comedian.,He_laughed.,5,polite_enough,He_frowned_because_he_didn't_like_the_act.,to_laugh,E,polite
28,3TS1AR6UQQFZ6809CCY3AAN601DF72,3,52,"English","Yes",Trial1,4 33-wise-CnC-E CnC Paul_ran_a_marathon_on_Sunday. He_went_to_bed_early_the_night_before. 7 wise_enough He_stayed_up_late_on_Saturday. to_go_to_bed_early_the_night_before E,1,4,33-wise-CnC-E,CnC,Paul_ran_a_marathon_on_Sunday.,He_went_to_bed_early_the_night_before.,7,wise_enough,He_stayed_up_late_on_Saturday.,to_go_to_bed_early_the_night_before,E,wise
67,3DYGAII7PL9L33UIME3EMVI57XSPQD,11,43,"English","Yes",Trial1,filler filler4 filler Keith_was_hiking_up_a_steep_mountain. He_was_ecstatic_to_have_made_it_to_the_top. 1 ecstatic He_didn't_make_it_to_the_top. to_have_made_it_to_the_top na,1,filler,filler4,filler,Keith_was_hiking_up_a_steep_mountain.,He_was_ecstatic_to_have_made_it_to_the_top.,1,ecstatic,He_didn't_make_it_to_the_top.,to_have_made_it_to_the_top,na,ecstatic
115,3O7L7BFSHEQ4PEH90SIUJHSF2G9EIE,8,34,"English","Yes",Trial1,9 28-lucky-CxC-noE CxC Eve_has_a_5th_grade_education. She_got_a_minimum_wage_job 2 lucky She_can't_get_a_job. to_get_a_minimum_wage_job noE,1,9,28-lucky-CxC-noE,CxC,Eve_has_a_5th_grade_education.,She_got_a_minimum_wage_job,2,lucky,She_can't_get_a_job.,to_get_a_minimum_wage_job,noE,lucky
128,3OVHNO1VE62LSYSJ41VWDUDKYH9ZD2,6,37,"english","Yes",Trial1,filler filler5 filler Claire_fell_down_the_stairs. She_was_glad_to_not_be_hurt. 2 glad She_broke_a_leg_and_some_ribs. to_not_be_hurt na,1,filler,filler5,filler,Claire_fell_down_the_stairs.,She_was_glad_to_not_be_hurt.,2,glad,She_broke_a_leg_and_some_ribs.,to_not_be_hurt,na,glad
48,3U088ZLJVKUNZJMKH2NUZJZJNQWW0G,1,34,"english","Yes",Trial1,filler filler8 filler Tess_had_failed_many_college_classes. She_was_proud_to_have_graduated_from_college. 1 proud She_didn't_graduate. to_have_graduated_from_college na,1,filler,filler8,filler,Tess_had_failed_many_college_classes.,She_was_proud_to_have_graduated_from_college.,1,proud,She_didn't_graduate.,to_have_graduated_from_college,na,proud
76,3UJ1CZ6IZHQTN9RCU3J5JPSPYLB5SV,6,58,"English","Yes",Trial1,7 28-lucky-CnC-noE CnC Eve_bought_a_raffle_ticket._ She_won_the_first_prize. 1 lucky She_won_a_consolation_prize. to_win_the_first_prize noE,1,7,28-lucky-CnC-noE,CnC,Eve_bought_a_raffle_ticket._,She_won_the_first_prize.,1,lucky,She_won_a_consolation_prize.,to_win_the_first_prize,noE,lucky
79,3QFUFYSY9YG2NLIQAE0W7Y3W9ZNF4I,7,32,"English","Yes",Trial1,8 49-rude-CxC-noE CxC Ann's_neighbor_greeted_her. She_ignored_him. 4 rude She_greeted_him_back. to_ignore_him noE,1,8,49-rude-CxC-noE,CxC,Ann's_neighbor_greeted_her.,She_ignored_him.,4,rude,She_greeted_him_back.,to_ignore_him,noE,rude
81,3NS0A6KXC49O4I2A6RW4JFGHB9PZGC,10,41,"English+","Yes",Trial1,11 31-wise-CnC-noE CnC Paul_lost_his_wallet_with_his_credit_cards. He_canceled_the_credit_cards_immediately. 7 wise He_waited_a_week_to_cancel_the_cards. to_cancel_the_credit_cards_immediately noE,1,11,31-wise-CnC-noE,CnC,Paul_lost_his_wallet_with_his_credit_cards.,He_canceled_the_credit_cards_immediately.,7,wise,He_waited_a_week_to_cancel_the_cards.,to_cancel_the_credit_cards_immediately,noE,wise
57,3634BBTX0OVWVSH5V3201ZDFEHOFIX,8,31,"English","Yes",Trial1,9 13-fortunate-CnC-E CnC Sue_was_bitten_by_a_shark. She_got_away_with_a_few_cuts. 5 fortunate_enough She_lost_a_leg. to_get_away_with_a_few_cuts E,1,9,13-fortunate-CnC-E,CnC,Sue_was_bitten_by_a_shark.,She_got_away_with_a_few_cuts.,5,fortunate_enough,She_lost_a_leg.,to_get_away_with_a_few_cuts,E,fortunate
60,32SVAV9L3FAM9YIEZK9LJS0ZYJEA3F,11,23,"English","Yes",Trial1,filler filler7 filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 1 sad She_shared_an_apartment_with_some_friends. to_live_alone na,1,filler,filler7,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,1,sad,She_shared_an_apartment_with_some_friends.,to_live_alone,na,sad
133,33JKGHPFYCVUF3KDE6J51XT5XHUNMS,5,45,"english","Yes",Trial1,6 8-stupid-CnC-E CnC Zack_left_the_bar_drunk. He_drove_home. 4 stupid_enough He_called_a_taxi. to_drive_home E,1,6,8-stupid-CnC-E,CnC,Zack_left_the_bar_drunk.,He_drove_home.,4,stupid_enough,He_called_a_taxi.,to_drive_home,E,stupid
132,3F6HPJW4JD1UVTPYWPR8I7SYKOHW21,6,65,"English","Yes",Trial1,7 52-rude-CnC-noE CnC Ann_was_standing_in_front_of_her_friend's_door. She_was_eavesdropping. 1 rude She_knocked_to_let_him_know_she_was_there. to_be_eavesdropping noE,1,7,52-rude-CnC-noE,CnC,Ann_was_standing_in_front_of_her_friend's_door.,She_was_eavesdropping.,1,rude,She_knocked_to_let_him_know_she_was_there.,to_be_eavesdropping,noE,rude
32,3M68NM076H8D5YRDKXT5LL1T8E56RQ,2,33,"english","Yes",Trial1,3 47-polite-CnC-E CnC Chad_had_insulted_his_wife. He_apologized. 5 polite_enough He_refused_to_acknowledge_his_insult. to_apologize E,1,3,47-polite-CnC-E,CnC,Chad_had_insulted_his_wife.,He_apologized.,5,polite_enough,He_refused_to_acknowledge_his_insult.,to_apologize,E,polite
89,3RSDURM96ANQFEWE4A4X55M3SZ7YE4,9,33,"English","Yes",Trial1,10 46-polite-CnC-noE CnC Chad_was_standing_in_front_of_his_friend's_door. He_knocked_gently. 1 polite He_banged_at_the_door. to_knock_gently noE,1,10,46-polite-CnC-noE,CnC,Chad_was_standing_in_front_of_his_friend's_door.,He_knocked_gently.,1,polite,He_banged_at_the_door.,to_knock_gently,noE,polite
105,3EWIJTFFVO8TIJ0TW2TODDSJGMS0E5,11,54,"English","Yes",Trial1,12 20-brave-CxC-E CxC Greg_was_asked_to_speak_up_against_the_crime_boss. He_agreed_to_do_it. 6 brave_enough He_refused_to_speak_up. to_agree_to_do_it E,1,12,20-brave-CxC-E,CxC,Greg_was_asked_to_speak_up_against_the_crime_boss.,He_agreed_to_do_it.,6,brave_enough,He_refused_to_speak_up.,to_agree_to_do_it,E,brave
45,379J5II41OH6FFPFLVF7BXK7JK3LEZ,7,30,"English","Yes",Trial1,8 33-wise-CxC-E CxC Paul_went_on_a_hike_in_the_Alps. He_wore_hiking_boots. 5 wise_enough He_wore_flip-flops. to_wear_hiking_boots E,1,8,33-wise-CxC-E,CxC,Paul_went_on_a_hike_in_the_Alps.,He_wore_hiking_boots.,5,wise_enough,He_wore_flip-flops.,to_wear_hiking_boots,E,wise
58,3M0NZ3JDP1ZQOLDQPVDDFIPSL0CZ5V,8,31,"English","Yes",Trial1,filler filler5 filler Claire_fell_down_the_stairs. She_was_glad_to_not_be_hurt. 1 glad She_broke_a_leg_and_some_ribs. to_not_be_hurt na,1,filler,filler5,filler,Claire_fell_down_the_stairs.,She_was_glad_to_not_be_hurt.,1,glad,She_broke_a_leg_and_some_ribs.,to_not_be_hurt,na,glad
17,3WETL7AQWT9P3S6X4OI4BHKD65D352,8,22,"English","Yes",Trial1,filler filler8 filler Tess_had_failed_many_college_classes. She_was_proud_to_have_graduated_from_college. 1 proud She_didn't_graduate. to_have_graduated_from_college na,1,filler,filler8,filler,Tess_had_failed_many_college_classes.,She_was_proud_to_have_graduated_from_college.,1,proud,She_didn't_graduate.,to_have_graduated_from_college,na,proud
9,3S06PH7KSR5OX27BWQM4L0T8L2Y1DH,11,31,"English","Yes",Trial1,filler filler2 filler Ross_was_doing_his_laundry. He_didn't_manage_to_find_coins_anywhere. 1 manage He_found_coins_in_his_pocket. to_find_coins_anywhere na,1,filler,filler2,filler,Ross_was_doing_his_laundry.,He_didn't_manage_to_find_coins_anywhere.,1,manage,He_found_coins_in_his_pocket.,to_find_coins_anywhere,na,manage
47,31JLPPHS2UVBB2CF93E3KNK4N0IO3S,8,25,"English","Yes",Trial1,9 13-fortunate-CnC-E CnC Sue_was_bitten_by_a_shark. She_got_away_with_a_few_cuts. 7 fortunate_enough She_lost_a_leg. to_get_away_with_a_few_cuts E,1,9,13-fortunate-CnC-E,CnC,Sue_was_bitten_by_a_shark.,She_got_away_with_a_few_cuts.,7,fortunate_enough,She_lost_a_leg.,to_get_away_with_a_few_cuts,E,fortunate
88,3SB4CE2TJVWYPWPSJ9G9Q8P35EDXA0,10,40,"English","Yes",Trial1,filler filler5 filler Claire_fell_down_the_stairs. She_was_glad_to_not_be_hurt. 1 glad She_broke_a_leg_and_some_ribs. to_not_be_hurt na,1,filler,filler5,filler,Claire_fell_down_the_stairs.,She_was_glad_to_not_be_hurt.,1,glad,She_broke_a_leg_and_some_ribs.,to_not_be_hurt,na,glad
95,3MMN5BL1WZ5NBZR3WNZQSJVZS043MT,0,20,"English","Yes",Trial1,1 42-foolish-CnC-E CnC Kate_took_her_nephew_to_the_playground. She_wore_high_heels. 5 foolish_enough She_wore_sneakers. to_wear_high_heels E,1,1,42-foolish-CnC-E,CnC,Kate_took_her_nephew_to_the_playground.,She_wore_high_heels.,5,foolish_enough,She_wore_sneakers.,to_wear_high_heels,E,foolish
24,3WJ1OXY92AH8AVOKB14HA98AE578A6,7,34,"English","Yes",Trial1,filler filler1 filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forgot He_called_his_dentist. to_call_his_dentist na,1,filler,filler1,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forgot,He_called_his_dentist.,to_call_his_dentist,na,forgot
30,31HQ4X3T3SB7PYUXMQZC0EOMKBBLSZ,1,36,"English","Yes",Trial1,filler filler8 filler Tess_had_failed_many_college_classes. She_was_proud_to_have_graduated_from_college. 1 proud She_didn't_graduate. to_have_graduated_from_college na,1,filler,filler8,filler,Tess_had_failed_many_college_classes.,She_was_proud_to_have_graduated_from_college.,1,proud,She_didn't_graduate.,to_have_graduated_from_college,na,proud
125,3TK8OJTYM1MD8BQZ8DXOSIHDOP7PV7,3,22,"English","Yes",Trial1,4 33-wise-CnC-E CnC Paul_ran_a_marathon_on_Sunday. He_went_to_bed_early_the_night_before. 5 wise_enough He_stayed_up_late_on_Saturday. to_go_to_bed_early_the_night_before E,1,4,33-wise-CnC-E,CnC,Paul_ran_a_marathon_on_Sunday.,He_went_to_bed_early_the_night_before.,5,wise_enough,He_stayed_up_late_on_Saturday.,to_go_to_bed_early_the_night_before,E,wise
99,3GLB5JMZFXWL1HXEE977SNXENRGDGS,11,26,"English","Yes",Trial1,filler filler7 filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 1 sad She_shared_an_apartment_with_some_friends. to_live_alone na,1,filler,filler7,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,1,sad,She_shared_an_apartment_with_some_friends.,to_live_alone,na,sad
112,3WAKVUDHUWHOPQXZ71T2WAO9AOT7UU,8,36,"english","Yes",Trial1,9 59-mean-CxC-noE CxC Jack's_daughter_is_lactose_intolerant. He_gave_her_a_milk_shake. 2 mean He_gave_her_an_ice_tea. to_give_her_a_milk_shake noE,1,9,59-mean-CxC-noE,CxC,Jack's_daughter_is_lactose_intolerant.,He_gave_her_a_milk_shake.,2,mean,He_gave_her_an_ice_tea.,to_give_her_a_milk_shake,noE,mean
80,30X31N5D63RQTF3TPZAMR08BQZFSAR,0,25,"English","Yes",Trial1,1 3-smart-CxC-noE CxC Jane_wanted_to_get_a_good_job. She_went_to_school. 1 smart She_dropped_out_of_school. to_go_to_school noE,1,1,3-smart-CxC-noE,CxC,Jane_wanted_to_get_a_good_job.,She_went_to_school.,1,smart,She_dropped_out_of_school.,to_go_to_school,noE,smart
91,3MH9DQ757WD7IJ8004XW2N129REGU8,2,27,"English","Yes",Trial1,3 47-polite-CnC-E CnC Chad_had_insulted_his_wife. He_apologized. 6 polite_enough He_refused_to_acknowledge_his_insult. to_apologize E,1,3,47-polite-CnC-E,CnC,Chad_had_insulted_his_wife.,He_apologized.,6,polite_enough,He_refused_to_acknowledge_his_insult.,to_apologize,E,polite
51,3EFE17QCRC6532B7V5KE8MVF3U7HST,4,31,"English","Yes",Trial1,filler filler3 filler Charles_was_on_a_date_with_Susanne. He_was_happy_to_be_having_a_great_time. 1 happy He_was_having_a_bad_time. to_be_having_a_great_time na,1,filler,filler3,filler,Charles_was_on_a_date_with_Susanne.,He_was_happy_to_be_having_a_great_time.,1,happy,He_was_having_a_bad_time.,to_be_having_a_great_time,na,happy
103,3EF8EXOTT1W10O736M8FOYOLQMXJ1F,2,38,"English","Yes",Trial1,filler filler5 filler Claire_fell_down_the_stairs. She_was_glad_to_not_be_hurt. 1 glad She_broke_a_leg_and_some_ribs. to_not_be_hurt na,1,filler,filler5,filler,Claire_fell_down_the_stairs.,She_was_glad_to_not_be_hurt.,1,glad,She_broke_a_leg_and_some_ribs.,to_not_be_hurt,na,glad
74,33SA9F9TRXVMQ91EP9M9K81NHRBWE7,3,34,"English","Yes",Trial1,4 9-stupid-CnC-E CnC Zack_discovered_that_his_girlfriend_was_cheating. He_married_her. 6 stupid_enough He_broke_up_with_her. to_marry_her E,1,4,9-stupid-CnC-E,CnC,Zack_discovered_that_his_girlfriend_was_cheating.,He_married_her.,6,stupid_enough,He_broke_up_with_her.,to_marry_her,E,stupid
49,33OOO72IVHMF1UD6YDB370ULSLHCT5,2,24,"English","Yes",Trial1,filler filler2 filler Ross_was_doing_his_laundry. He_didn't_manage_to_find_coins_anywhere. 1 manage He_found_coins_in_his_pocket. to_find_coins_anywhere na,1,filler,filler2,filler,Ross_was_doing_his_laundry.,He_didn't_manage_to_find_coins_anywhere.,1,manage,He_found_coins_in_his_pocket.,to_find_coins_anywhere,na,manage
43,31EUONYN2V4VNBEYTDK93ICNEKGVO1,9,24,"English","Yes",Trial1,10 9-stupid-CnC-noE CnC Zack_discovered_that_his_girlfriend_was_cheating. He_married_her. 1 stupid He_broke_up_with_her. to_marry_her noE,1,10,9-stupid-CnC-noE,CnC,Zack_discovered_that_his_girlfriend_was_cheating.,He_married_her.,1,stupid,He_broke_up_with_her.,to_marry_her,noE,stupid
110,3FFJ6VRIL1P5YO2FSLJFYSQB8F4I01,3,28,"English","Yes",Trial1,4 16-fortunate-CnC-noE CnC Sue_was_training_to_become_a_dancer. She_had_a_great_sense_of_rhythm. 7 fortunate She_couldn't_keep_a_beat. to_have_a_great_sense_of_rhythm noE,1,4,16-fortunate-CnC-noE,CnC,Sue_was_training_to_become_a_dancer.,She_had_a_great_sense_of_rhythm.,7,fortunate,She_couldn't_keep_a_beat.,to_have_a_great_sense_of_rhythm,noE,fortunate
18,3ZQIG0FLQEH3SKN0KZBJKCP9HMGVWE,3,28,"English","Yes",Trial1,filler filler8 filler Tess_had_failed_many_college_classes. She_was_proud_to_have_graduated_from_college. 1 proud She_didn't_graduate. to_have_graduated_from_college na,1,filler,filler8,filler,Tess_had_failed_many_college_classes.,She_was_proud_to_have_graduated_from_college.,1,proud,She_didn't_graduate.,to_have_graduated_from_college,na,proud
7,32UTUBMZ7GXB4HPPP8FNXYCO7LXVBX,2,30,"English","Yes",Trial1,filler filler7 filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 2 sad She_shared_an_apartment_with_some_friends. to_live_alone na,1,filler,filler7,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,2,sad,She_shared_an_apartment_with_some_friends.,to_live_alone,na,sad
