workerid,assignmentid,Answer.listNumber,Answer.age,Answer.language,Answer.americanenglish,variable,value,Trial,List,ID,Condition,Context,Target,Response,Adj,Condition2
168,31QTRG6Q2TEUC5L4DOK8ZHL762RYPZ,23,23,"English","Yes",Trial1,24 45-polite-CnC CnC Chad_was_accidentally_tripped_by_a_little_girl. He_gave_her_a_friendly_smile. 5 polite,1,24,45-polite-CnC,CnC,Chad_was_accidentally_tripped_by_a_little_girl.,He_gave_her_a_friendly_smile.,5,polite,Cn
248,369J354OFDBMG8IZ4MZTMHNM61C6G4,0,39,"English","Yes",Trial1,filler filler1No na Claire_was_knitting_a_sweater. She_was_using_red_yarn. 2 true,1,1,filler1No,na,Claire_was_knitting_a_sweater.,She_was_using_red_yarn.,2,true,na
68,333U7HK6I9GVSJNFMFSAP0PUFFFJDC,10,30,"English","Yes",Trial1,11 3-smart-CnD CnD Jane_was_applying_for_a_job._ She_lied_on_her_resume. 5 smart,1,11,3-smart-CnD,CnD,Jane_was_applying_for_a_job._,She_lied_on_her_resume.,5,smart,Cn
26,36NEMU28XFEK2XTR67ASXG6WQPGWM2,3,31,"English","Yes",Trial1,filler filler1Yes na Earl_worked_in_London_last_year. He_was_a_teacher_at_a_private_school. 7 true,1,4,filler1Yes,na,Earl_worked_in_London_last_year.,He_was_a_teacher_at_a_private_school.,7,true,na
175,38F71OA9GTXIRB7WGI0STSKWVMQMFU,9,68,"English","Yes",Trial1,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 2 true,1,10,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,2,true,na
242,37M28K1J0QEXUCK32518ZZHOUCIJAA,4,38,"English","Yes",Trial1,5 36-wise-CnC CnC Paul_had_the_flu. He_stayed_in_bed. 7 wise,1,5,36-wise-CnC,CnC,Paul_had_the_flu.,He_stayed_in_bed.,7,wise,Cn
21,3EJJQNKU9R6T2NBUGGK9ICQJHO3HRC,17,49,"English","Yes",Trial1,18 42-foolish-CxC CxC Kate_can't_swim. She_jumped_into_the_water. 7 foolish,1,18,42-foolish-CxC,CxC,Kate_can't_swim.,She_jumped_into_the_water.,7,foolish,Cx
76,3EJPLAJKEMHM7PD4UENI7O3SHR5Z6L,0,29,"English","Yes",Trial1,1 11-stupid-CxD CxD Zack_was_at_a_steak_house. He_ordered_a_steak. 1 stupid,1,1,11-stupid-CxD,CxD,Zack_was_at_a_steak_house.,He_ordered_a_steak.,1,stupid,Cx
252,3FE2ERCCZX9IIRH271BAXQN5SSSOPE,1,21,"english","Yes",Trial1,2 10-stupid-CxD CxD Zack_was_drinking_a_glass_of_wine. He_took_a_sip. 1 stupid,1,2,10-stupid-CxD,CxD,Zack_was_drinking_a_glass_of_wine.,He_took_a_sip.,1,stupid,Cx
58,3G5F9DBFOPYLVUSBP0PJJ9FM2UGHV5,13,24,"English","Yes",Trial1,14 16-fortunate-CnC CnC Sue_was_training_to_become_a_dancer. She_had_a_great_sense_of_rhythm. 7 fortunate,1,14,16-fortunate-CnC,CnC,Sue_was_training_to_become_a_dancer.,She_had_a_great_sense_of_rhythm.,7,fortunate,Cn
96,30OG32W0SUCW3FS0X8VMOPOWOBMNEE,9,55,"English","Yes",Trial1,filler filler2Yes na Liv_was_having_a_birthday_party. She_bought_a_cake_for_her_party. 7 true,1,10,filler2Yes,na,Liv_was_having_a_birthday_party.,She_bought_a_cake_for_her_party.,7,true,na
24,3VBEN272MK0R36GWBZ2WNMJEOQ9SGC,23,32,"English","Yes",Trial1,24 50-rude-CxC CxC Ann_got_reprimanded_by_her_boss. She_ignored_him. 7 rude,1,24,50-rude-CxC,CxC,Ann_got_reprimanded_by_her_boss.,She_ignored_him.,7,rude,Cx
2,3SITXWYCNVA386UKPNG5LJ99NSIXB7,13,39,"English","Yes",Trial1,14 55-mean-CnD CnD Jack_walked_past_an_old_man_with_a_cane. He_helped_him_across_the_street. 1 mean,1,14,55-mean-CnD,CnD,Jack_walked_past_an_old_man_with_a_cane.,He_helped_him_across_the_street.,1,mean,Cn
177,3IO1LGZLK9Y7NTCHLON5U46OII068P,15,41,"English","Yes",Trial1,16 23-brave-CnC CnC Greg_wrote_a_controversial_article. He_used_his_own_name. 7 brave,1,16,23-brave-CnC,CnC,Greg_wrote_a_controversial_article.,He_used_his_own_name.,7,brave,Cn
88,3018Q3ZVOIRES03GAAAH1Q3F4TDARU,15,33,"English","Yes",Trial1,16 4-smart-CnC CnC Jane_was_baby-sitting_for_her_sister. She_kept_an_eye_on_the_baby_at_all_times. 7 smart,1,16,4-smart-CnC,CnC,Jane_was_baby-sitting_for_her_sister.,She_kept_an_eye_on_the_baby_at_all_times.,7,smart,Cn
178,3KKG4CDWKIZTMBRD7S04X2HL6XC94W,3,27,"English%2C+Chinese%2C+Spanish","Yes",Trial1,filler filler1Yes na Earl_worked_in_London_last_year. He_was_a_teacher_at_a_private_school. 7 true,1,4,filler1Yes,na,Earl_worked_in_London_last_year.,He_was_a_teacher_at_a_private_school.,7,true,na
197,3OHYZ19UGC6BVNB0IITD7VYAT6TOAZ,10,31,"english","Yes",Trial1,11 27-lucky-CnD CnD Eve_was_attacked_last_night. She_was_stabbed_in_the_leg. 5 lucky,1,11,27-lucky-CnD,CnD,Eve_was_attacked_last_night.,She_was_stabbed_in_the_leg.,5,lucky,Cn
35,3X4JMASXCMAVBGO9MBRYC5MYDLYB0R,1,26,"English","Yes",Trial1,2 3-smart-CxD CxD Jane_had_the_measles. She_went_to_school. 1 smart,1,2,3-smart-CxD,CxD,Jane_had_the_measles.,She_went_to_school.,1,smart,Cx
214,3WT783CTPBIF58JPYRKI76OZMAWCBM,3,24,"english","Yes",Trial1,4 38-foolish-CxD CxD Kate_wanted_to_exercise. She_went_for_a_run. 1 foolish,1,4,38-foolish-CxD,CxD,Kate_wanted_to_exercise.,She_went_for_a_run.,1,foolish,Cx
171,37UEWGM5HT9IYCQGERHOQPAC0Z81RY,5,32,"English","Yes",Trial1,6 35-wise-CxC CxC Paul_was_asked_to_commit_a_crime. He_refused. 7 wise,1,6,35-wise-CxC,CxC,Paul_was_asked_to_commit_a_crime.,He_refused.,7,wise,Cx
264,3R5F3LQFV2LCWVJ8UA9COOPJ2R0ZOB,16,22,"english","Yes",Trial1,17 51-rude-CxC CxC Ann_was_eating_pasta_with_her_friends. She_used_her_fingers. 7 rude,1,17,51-rude-CxC,CxC,Ann_was_eating_pasta_with_her_friends.,She_used_her_fingers.,7,rude,Cx
262,3OS4RQUCR9GM8K3ZPTAJFC92JNOFB0,22,53,"English","Yes",Trial1,23 39-foolish-CnC CnC Kate_went_on_a_beach_vacation. She_worked_insane_hours_every_day. 7 foolish,1,23,39-foolish-CnC,CnC,Kate_went_on_a_beach_vacation.,She_worked_insane_hours_every_day.,7,foolish,Cn
94,3RANCT1ZVFIBR20PKI5I1CA5TA2UBD,19,27,"English","Yes",Trial1,20 2-smart-CnC CnC Jane_was_arrested_for_fraud. She_told_her_attorney_the_truth. 7 smart,1,20,2-smart-CnC,CnC,Jane_was_arrested_for_fraud.,She_told_her_attorney_the_truth.,7,smart,Cn
255,3R6BYFZZP7DTLN60UP21490U2QBXFQ,6,25,"english","Yes",Trial1,7 45-polite-CnD CnD Chad_was_accidentally_tripped_by_a_little_girl. He_swore_at_her_loudly. 1 polite,1,7,45-polite-CnD,CnD,Chad_was_accidentally_tripped_by_a_little_girl.,He_swore_at_her_loudly.,1,polite,Cn
8,3P4RDNWND57C0U31ETTLGX577KPIJF,16,56,"English","Yes",Trial1,17 51-rude-CxC CxC Ann_was_eating_pasta_with_her_friends. She_used_her_fingers. 3 rude,1,17,51-rude-CxC,CxC,Ann_was_eating_pasta_with_her_friends.,She_used_her_fingers.,3,rude,Cx
216,3PJ71Z61R43CUCUUKAH2Z4AIUD319C,11,53,"English","Yes",Trial1,12 51-rude-CnD CnD Ann_was_tripped_by_a_little_boy. She_gave_him_a_friendly_smile. 1 rude,1,12,51-rude-CnD,CnD,Ann_was_tripped_by_a_little_boy.,She_gave_him_a_friendly_smile.,1,rude,Cn
149,3V0Z7YWSIY1HG4PT6FMCW59KDBZ2V9,0,26,"English","Yes",Trial1,1 2-smart-CxD CxD Jane_was_prank-calling_people. She_called_the_police. 1 smart,1,1,2-smart-CxD,CxD,Jane_was_prank-calling_people.,She_called_the_police.,1,smart,Cx
196,37U1UTWH9VN09CA1DCQ35ZXKE5E8RP,22,32,"English","Yes",Trial1,23 17-fortunate-CnC CnC Sue_was_visiting_New_York. She_stayed_at_the_Ritz-Carlton. 5 fortunate,1,23,17-fortunate-CnC,CnC,Sue_was_visiting_New_York.,She_stayed_at_the_Ritz-Carlton.,5,fortunate,Cn
129,3NKQQ8O39Y646ZY9YEWOW2Y5WVFDU4,15,55,"English","Yes",Trial1,16 59-mean-CxD CxD Jack's_daughter_was_a_little_hungry. He_gave_her_a_milk_shake. 1 mean,1,16,59-mean-CxD,CxD,Jack's_daughter_was_a_little_hungry.,He_gave_her_a_milk_shake.,1,mean,Cx
120,37QW5D2ZRGNCARAES1Q8V92G07X8SD,20,23,"English","Yes",Trial1,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,1,21,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
36,3FPRZHYEPY861MLCAF0HFFECJP03VM,21,25,"English","Yes",Trial1,22 13-fortunate-CnC CnC Sue_was_bitten_by_a_shark. She_got_away_with_a_few_cuts. 7 fortunate,1,22,13-fortunate-CnC,CnC,Sue_was_bitten_by_a_shark.,She_got_away_with_a_few_cuts.,7,fortunate,Cn
179,3TUI152ZZBOIMBBG1CSOLZ074D71QY,18,51,"english","Yes",Trial1,filler filler1Yes na Earl_worked_in_London_last_year. He_was_a_teacher_at_a_private_school. 6 true,1,19,filler1Yes,na,Earl_worked_in_London_last_year.,He_was_a_teacher_at_a_private_school.,6,true,na
144,3Z7VU45IPYIR03C7O8B1CSCB9GS1ZS,17,40,"English","Yes",Trial1,filler filler1No na Claire_was_knitting_a_sweater. She_was_using_red_yarn. 1 true,1,18,filler1No,na,Claire_was_knitting_a_sweater.,She_was_using_red_yarn.,1,true,na
268,3300DTYQT2IH6C5SD0N3SJJ1TMBEQU,23,37,"English","Yes",Trial1,filler filler1Yes na Earl_worked_in_London_last_year. He_was_a_teacher_at_a_private_school. 7 true,1,24,filler1Yes,na,Earl_worked_in_London_last_year.,He_was_a_teacher_at_a_private_school.,7,true,na
66,37TRT2X24QS2DMPV8J14UA1UCU5JB7,9,32,"English","Yes",Trial1,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,1,10,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
142,37UEWGM5HT9IYCQGERHOQPAC0Z8R1O,17,51,"English","Yes",Trial1,18 57-mean-CxC CxC Jack's_customer_asked_him_to_drive_faster. He_slowed_the_car_down. 1 mean,1,18,57-mean-CxC,CxC,Jack's_customer_asked_him_to_drive_faster.,He_slowed_the_car_down.,1,mean,Cx
91,308XBLVESI5JBA88GOADW1NLMBZRB7,4,37,"Englidh","Yes",Trial1,5 36-wise-CnC CnC Paul_had_the_flu. He_stayed_in_bed. 7 wise,1,5,36-wise-CnC,CnC,Paul_had_the_flu.,He_stayed_in_bed.,7,wise,Cn
228,36PW28KO4ZXPJWYBO4QH2J4WP4PAEJ,2,39,"English","Yes",Trial1,3 25-lucky-CxD CxD Eve_thought_she_found_water_in_the_desert. She_was_just_hallucinating. 1 lucky,1,3,25-lucky-CxD,CxD,Eve_thought_she_found_water_in_the_desert.,She_was_just_hallucinating.,1,lucky,Cx
70,3URFVVM165J79035QWLLNUH8KDPUZK,5,33,"English","Yes",Trial1,6 6-smart-CxD CxD Jane_loves_her_boyfriend. She_broke_up_with_him. 2 smart,1,6,6-smart-CxD,CxD,Jane_loves_her_boyfriend.,She_broke_up_with_him.,2,smart,Cx
117,3I3WADAZ9Q5EPHZJNM2WZKIO1SUO5V,13,33,"english","Yes",Trial1,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,1,14,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
93,3QBD8R3Z21KWTYVJ9HJMUSCA1WZO4Q,18,39,"English","Yes",Trial1,19 41-foolish-CxC CxC Kate_has_problems_with_her_feet. She_wore_high_heels. 7 foolish,1,19,41-foolish-CxC,CxC,Kate_has_problems_with_her_feet.,She_wore_high_heels.,7,foolish,Cx
100,3X87C8JFV6CIGVAAEV78H0NGUDLSQA,11,60,"English","Yes",Trial1,12 51-rude-CnD CnD Ann_was_tripped_by_a_little_boy. She_gave_him_a_friendly_smile. 1 rude,1,12,51-rude-CnD,CnD,Ann_was_tripped_by_a_little_boy.,She_gave_him_a_friendly_smile.,1,rude,Cn
221,3WETL7AQWT9P3S6X4OI4BHKD61Z35G,9,38,"english","Yes",Trial1,10 47-polite-CxC CxC Chad_was_driving_very_slowly. He_moved_to_the_right. 7 polite,1,10,47-polite-CxC,CxC,Chad_was_driving_very_slowly.,He_moved_to_the_right.,7,polite,Cx
44,37FMASSAYCS6IB5PQ1G4I9MUZFJBIQ,20,31,"english","Yes",Trial1,21 13-fortunate-CxC CxC Sue_got_into_a_rain_storm. She_had_a_big_umbrella_with_her. 7 fortunate,1,21,13-fortunate-CxC,CxC,Sue_got_into_a_rain_storm.,She_had_a_big_umbrella_with_her.,7,fortunate,Cx
247,31IBVUNM9S01HY15UA1JGO39MF7VFP,15,25,"English","Yes",Trial1,16 31-wise-CxD CxD Paul_bought_some_heroin_from_a_street_dealer. He_asked_about_the_return_policy. 1 wise,1,16,31-wise-CxD,CxD,Paul_bought_some_heroin_from_a_street_dealer.,He_asked_about_the_return_policy.,1,wise,Cx
261,35DR22AR5DLY5BQ7AU1Z30BXZ1BX3O,7,38,"English","Yes",Trial1,filler filler2Yes na Liv_was_having_a_birthday_party. She_bought_a_cake_for_her_party. 7 true,1,8,filler2Yes,na,Liv_was_having_a_birthday_party.,She_bought_a_cake_for_her_party.,7,true,na
122,3E7TUJ2EGCN6M7A6031X06BRJBAD9K,23,63,"English","Yes",Trial1,24 20-brave-CnD CnD Greg_witnessed_a_knife_fight. He_watched_from_a_safe_distance. 5 brave,1,24,20-brave-CnD,CnD,Greg_witnessed_a_knife_fight.,He_watched_from_a_safe_distance.,5,brave,Cn
198,3JZQSN0I3QBIZ1BA5F2XGN0ZZ1LGFP,17,28,"English","Yes",Trial1,18 48-polite-CnD CnD Chad_was_chatting_with_his_friend_Betty. He_talked_only_about_himself. 2 polite,1,18,48-polite-CnD,CnD,Chad_was_chatting_with_his_friend_Betty.,He_talked_only_about_himself.,2,polite,Cn
31,3H7XDTSHKCSKANX5V4CXKBMZU4BGWN,17,56,"english","Yes",Trial1,filler filler1No na Claire_was_knitting_a_sweater. She_was_using_red_yarn. 1 true,1,18,filler1No,na,Claire_was_knitting_a_sweater.,She_was_using_red_yarn.,1,true,na
250,3IOEN3P9S7KPCTSWM3EQFUJG4DZ61C,17,24,"English","Yes",Trial1,18 19-brave-CnD CnD Greg_saw_a_child_drowning_in_a_river. He_watched_from_the_river_bank. 1 brave,1,18,19-brave-CnD,CnD,Greg_saw_a_child_drowning_in_a_river.,He_watched_from_the_river_bank.,1,brave,Cn
104,3D4CH1LGEAU9YRKX2T256REOW3Q9GQ,22,32,"english","Yes",Trial1,23 49-rude-CnD CnD Ann_was_angry_at_her_sister_Carol. She_explained_to_Carol_what_had_upset_her. 1 rude,1,23,49-rude-CnD,CnD,Ann_was_angry_at_her_sister_Carol.,She_explained_to_Carol_what_had_upset_her.,1,rude,Cn
194,3ZR9AIQJUBABQH307WHB4RGS3UO04J,14,31,"English","Yes",Trial1,filler filler1No na Claire_was_knitting_a_sweater. She_was_using_red_yarn. 1 true,1,15,filler1No,na,Claire_was_knitting_a_sweater.,She_was_using_red_yarn.,1,true,na
12,3X4JMASXCMAVBGO9MBRYC5MYDM60BQ,5,29,"English","Yes",Trial1,6 16-fortunate-CnD CnD Sue_was_training_to_become_a_dancer. She_developed_back_problems. 1 fortunate,1,6,16-fortunate-CnD,CnD,Sue_was_training_to_become_a_dancer.,She_developed_back_problems.,1,fortunate,Cn
219,3MRNMEIQW571N9BFP04N5F2MJ5UDLK,22,45,"english","Yes",Trial1,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,1,23,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
38,3KB8R4ZV1E8SMKZU0DG1XX9EK3WBG5,14,35,"English","Yes",Trial1,15 30-lucky-CxD CxD Eve_was_the_best_student_in_this_class. She_got_a_B. 1 lucky,1,15,30-lucky-CxD,CxD,Eve_was_the_best_student_in_this_class.,She_got_a_B.,1,lucky,Cx
103,3L4PIM1GQTHFOI1JQGOX4CLM7LPRYW,23,33,"english","Yes",Trial1,24 12-stupid-CnD CnD Zack_inherited_a_lot_of_money. He_invested_it.__ 3 stupid,1,24,12-stupid-CnD,CnD,Zack_inherited_a_lot_of_money.,He_invested_it.__,3,stupid,Cn
62,3M1CVSFP606EGZOGXVLHW0TA88KQAK,13,21,"English","Yes",Trial1,14 4-smart-CxD CxD Jane_hates_keeping_track_of_time. She_bought_a_watch. 1 smart,1,14,4-smart-CxD,CxD,Jane_hates_keeping_track_of_time.,She_bought_a_watch.,1,smart,Cx
121,3N4BPTXIO8TCK54JQVIB0FTVG5KKUY,14,22,"English+and+Cantonese","Yes",Trial1,15 30-lucky-CxD CxD Eve_was_the_best_student_in_this_class. She_got_a_B. 5 lucky,1,15,30-lucky-CxD,CxD,Eve_was_the_best_student_in_this_class.,She_got_a_B.,5,lucky,Cx
134,3EA3QWIZ4IW6EXZ6QN7PI3SG5NPITV,3,30,"English","Yes",Trial1,4 21-brave-CnC CnC Greg_had_a_traumatic_experience_in_the_war. He_talked_about_what_he_went_through. 6 brave,1,4,21-brave-CnC,CnC,Greg_had_a_traumatic_experience_in_the_war.,He_talked_about_what_he_went_through.,6,brave,Cn
243,3ZY8KE4ISJ4Y8NRE8QCDSN7NTILVQQ,7,24,"English","Yes",Trial1,8 55-mean-CnC CnC Jack_walked_past_an_old_man_with_a_cane. He_pushed_the_man. 7 mean,1,8,55-mean-CnC,CnC,Jack_walked_past_an_old_man_with_a_cane.,He_pushed_the_man.,7,mean,Cn
28,32ZKVD547FORS8N65Y9HE3K5GYSB3Y,19,32,"English","Yes",Trial1,20 54-rude-CxC CxC Ann_was_eating_at_a_fancy_restaurant. She_spoke_very_loudly. 5 rude,1,20,54-rude-CxC,CxC,Ann_was_eating_at_a_fancy_restaurant.,She_spoke_very_loudly.,5,rude,Cx
165,3JJVG1YBEBYU6NAAJHXAT0IPUUJB5O,16,30,"English","Yes",Trial1,filler filler1No na Ross_graduated_from_college_yesterday. He_was_an_excellent_student. 1 true,1,17,filler1No,na,Ross_graduated_from_college_yesterday.,He_was_an_excellent_student.,1,true,na
87,3I3WADAZ9Q5EPHZJNM2WZKIO1T2O55,21,31,"English","Yes",Trial1,filler filler1Yes na Earl_worked_in_London_last_year. He_was_a_teacher_at_a_private_school. 6 true,1,22,filler1Yes,na,Earl_worked_in_London_last_year.,He_was_a_teacher_at_a_private_school.,6,true,na
225,3VSOLARPKBA84F897EVLNXPFSYP39G,23,30,"english","Yes",Trial1,24 57-mean-CnC CnC Jack's_daughter_made_a_mistake_in_her_homework. He_made_fun_of_her. 5 mean,1,24,57-mean-CnC,CnC,Jack's_daughter_made_a_mistake_in_her_homework.,He_made_fun_of_her.,5,mean,Cn
259,39PAAFCODM1B03J6PU68XSIADPKVT4,22,22,"English","Yes",Trial1,23 12-stupid-CxC CxC Zack_is_lactose_intolerant. He_drank_a_milk_shake. 6 stupid,1,23,12-stupid-CxC,CxC,Zack_is_lactose_intolerant.,He_drank_a_milk_shake.,6,stupid,Cx
233,3STRJBFXOWSXKSPUQQS1VJ7TXRDKT7,11,48,"English","Yes",Trial1,12 35-wise-CxD CxD Paul_was_offered_a_great_promotion. He_refused. 3 wise,1,12,35-wise-CxD,CxD,Paul_was_offered_a_great_promotion.,He_refused.,3,wise,Cx
263,3DY4FPOOA1PYKO6EL51DXDHSP4NVRR,13,27,"English","Yes",Trial1,14 29-lucky-CnC CnC Eve_wanted_to_be_a_model. She_had_beautiful_skin. 5 lucky,1,14,29-lucky-CnC,CnC,Eve_wanted_to_be_a_model.,She_had_beautiful_skin.,5,lucky,Cn
187,3MTMREQS4VJJ0WK294KNOPBWW92WAV,15,27,"English","Yes",Trial1,16 4-smart-CnC CnC Jane_was_baby-sitting_for_her_sister. She_kept_an_eye_on_the_baby_at_all_times. 7 smart,1,16,4-smart-CnC,CnC,Jane_was_baby-sitting_for_her_sister.,She_kept_an_eye_on_the_baby_at_all_times.,7,smart,Cn
137,3VW6495TLJ1OLJD54BGRC8EJA85YY6,1,35,"English","Yes",Trial1,2 14-fortunate-CnD CnD Sue_just_bought_a_new_car. She_hit_a_deer. 1 fortunate,1,2,14-fortunate-CnD,CnD,Sue_just_bought_a_new_car.,She_hit_a_deer.,1,fortunate,Cn
136,3TXMY6UCAEP29ELEH9H82VJY8B5QCM,22,28,"English","Yes",Trial1,23 32-wise-CnC CnC Paul_went_on_a_long_hike. He_brought_plenty_of_water. 7 wise,1,23,32-wise-CnC,CnC,Paul_went_on_a_long_hike.,He_brought_plenty_of_water.,7,wise,Cn
37,32VNZTT0A75ZQBNZ190QONHFCKRR4C,20,30,"english","Yes",Trial1,21 54-rude-CnC CnC Ann_was_chatting_with_her_friend_Mark. She_talked_only_about_herself. 4 rude,1,21,54-rude-CnC,CnC,Ann_was_chatting_with_her_friend_Mark.,She_talked_only_about_herself.,4,rude,Cn
33,3UN61F00HWQHMURZFEJ0TFNTCGMR5H,4,27,"English","Yes",Trial1,5 58-mean-CxD CxD Jack's_wife_had_asked_him_to_wake_her_really_early. He_woke_her_up_at_5am. 1 mean,1,5,58-mean-CxD,CxD,Jack's_wife_had_asked_him_to_wake_her_really_early.,He_woke_her_up_at_5am.,1,mean,Cx
251,39LOEL67OS68QAPZ2MP7N1U48S738R,21,26,"English","Yes",Trial1,22 48-polite-CxC CxC Chad_was_introduced_to_Susan. He_smiled. 7 polite,1,22,48-polite-CxC,CxC,Chad_was_introduced_to_Susan.,He_smiled.,7,polite,Cx
46,3EFVCAY5L3AJBORO57HU38BT4PTJ8J,13,24,"english","Yes",Trial1,14 8-stupid-CnD CnD Zack_left_the_bar_drunk. He_called_a_taxi. 1 stupid,1,14,8-stupid-CnD,CnD,Zack_left_the_bar_drunk.,He_called_a_taxi.,1,stupid,Cn
18,3T111IHZ5ER0NHTBI4WH5VSVYC5R98,17,22,"English","Yes",Trial1,18 57-mean-CxC CxC Jack's_customer_asked_him_to_drive_faster. He_slowed_the_car_down. 6 mean,1,18,57-mean-CxC,CxC,Jack's_customer_asked_him_to_drive_faster.,He_slowed_the_car_down.,6,mean,Cx
226,32SVAV9L3FAM9YIEZK9LJS0ZYG73AV,7,58,"English","Yes",Trial1,8 28-lucky-CnD CnD Eve_bought_a_raffle_ticket._ She_lost_it_the_next_day. 1 lucky,1,8,28-lucky-CnD,CnD,Eve_bought_a_raffle_ticket._,She_lost_it_the_next_day.,1,lucky,Cn
54,32ZKVD547FORS8N65Y9HE3K5GYS3BQ,2,45,"English","Yes",Trial1,3 25-lucky-CxD CxD Eve_thought_she_found_water_in_the_desert. She_was_just_hallucinating. 2 lucky,1,3,25-lucky-CxD,CxD,Eve_thought_she_found_water_in_the_desert.,She_was_just_hallucinating.,2,lucky,Cx
123,3180JW2OT4D0O68M79ARRO122ZSJ5H,7,28,"English","Yes",Trial1,8 37-foolish-CxC CxC Kate_was_completely_broke. She_went_shopping. 5 foolish,1,8,37-foolish-CxC,CxC,Kate_was_completely_broke.,She_went_shopping.,5,foolish,Cx
227,3DI28L7YXAFTP8LBSLXORIBTLBRE19,7,28,"English","Yes",Trial1,8 3-smart-CnC CnC Jane_was_applying_for_a_job._ She_updated_her_resume. 7 smart,1,8,3-smart-CnC,CnC,Jane_was_applying_for_a_job._,She_updated_her_resume.,7,smart,Cn
23,3STRJBFXOWSXKSPUQQS1VJ7TXRETKH,18,24,"English%2FSpanish","Yes",Trial1,19 41-foolish-CxC CxC Kate_has_problems_with_her_feet. She_wore_high_heels. 5 foolish,1,19,41-foolish-CxC,CxC,Kate_has_problems_with_her_feet.,She_wore_high_heels.,5,foolish,Cx
